,X,Y
230,0,15300.0
231,1,37000.0
232,3,8800.0
233,1,17900.0
234,3,22000.0
235,2,15600.0
236,0,21200.0
237,2,9000.0
238,3,51800.0
239,2,23000.0
240,1,117400.0
241,1,122800.0
242,1,46500.0
243,0,106100.0
244,1,9700.0
245,3,7900.0
246,2,106800.0
247,0,19000.0
248,2,25000.0
249,2,84400.0
250,2,73500.0
251,0,4600.0
252,2,29100.0
253,0,5600.0
254,0,25800.0
255,2,26400.0
256,1,20500.0
257,2,28200.0
258,0,42100.0
259,3,80000.0
260,1,50700.0
261,0,24400.0
262,2,105700.0
263,2,63200.0
264,1,17200.0
265,1,24500.0
266,0,108900.0
267,1,59800.0
268,1,9000.0
269,2,20700.0
270,1,3000.0
271,1,20800.0
272,2,27000.0
273,2,27700.0
274,0,10800.0
275,3,70300.0
276,0,45500.0
277,3,102800.0
278,1,4800.0
279,1,8500.0
280,0,20300.0
281,0,62700.0
282,0,19000.0
283,0,6700.0
284,1,40500.0
285,2,22700.0
286,0,46800.0
287,2,65100.0
288,3,113900.0
289,2,62600.0
290,0,0.0
291,1,46700.0
292,3,15200.0
293,4,51900.0
294,1,15600.0
295,2,43400.0
296,3,43200.0
297,1,33300.0
298,1,32800.0
299,0,11100.0
300,2,15800.0
301,2,45900.0
302,2,36600.0
303,3,10400.0
304,1,85700.0
305,0,5900.0
306,2,26500.0
307,0,54300.0
308,2,27200.0
309,4,74900.0
310,3,28900.0
311,0,167500.0
312,2,9200.0
313,1,9000.0
314,0,38100.0
315,0,38700.0
316,1,91100.0
317,2,58900.0
318,1,91000.0
319,1,151500.0
320,2,7900.0
321,0,74500.0
322,1,25000.0
323,2,36800.0
324,1,41100.0
325,2,35200.0
326,3,21800.0
327,1,76600.0
328,2,49000.0
329,2,104800.0
330,2,3300.0
331,0,45500.0
332,2,80500.0
333,3,3200.0
334,0,85600.0
335,1,61900.0
336,1,41900.0
337,1,122500.0
338,1,31200.0
339,1,37600.0
340,2,43100.0
341,2,49500.0
342,1,68100.0
343,1,17500.0
344,2,65000.0
345,2,53000.0
346,2,10000.0
347,1,7300.0
348,1,45800.0
349,0,20600.0
350,3,91000.0
351,1,23700.0
352,1,79700.0
353,1,31700.0
354,3,20600.0
355,1,20200.0
356,3,
357,1,36800.0
358,2,35700.0
359,0,59900.0
360,0,74500.0
361,1,41000.0
362,0,3800.0
363,4,138900.0
364,2,141300.0
365,1,8700.0
366,1,67400.0
367,2,12600.0
368,0,40000.0
369,0,53900.0
370,3,48800.0
371,1,47600.0
372,0,51700.0
373,2,47100.0
374,0,33900.0
375,1,27700.0
376,2,151200.0
377,2,13900.0
378,1,22800.0
379,1,18400.0
380,1,22800.0
381,2,55700.0
382,3,51000.0
383,2,20800.0
384,3,91300.0
385,0,85100.0
386,0,38200.0
387,2,79400.0
388,1,4900.0
389,1,13700.0
390,1,15700.0
391,1,77800.0
392,0,36400.0
393,2,102600.0
394,1,38000.0
395,2,66900.0
